chunk_id,content,filename,page
956eeabc-6f25-4b71-a996-57f39d026f64,"Synopsis  
What would you do if you found out you only had a few months to live, were about 
to have a child, and had unresolved debts?  
Faced with this situation, Walter White, a chemistry teacher, decides to secretly 
manufacture methamphetamine to earn as much money as possible in a short 
time and leave it to his family before he dies.  
Season Summary  
Many still wonder how many seasons Breaking Bad  has. Although die -hard fans 
hoped for a sixth season, Breaking Bad  consists of 62 episodes divided into 5 
seasons.  
Throughout the series, both the protagonist and his main goal evolve. How did it all 
begin? How did it end?  
Season 1: From Walter White to Heisenberg  
After turning 50, Walter White finds out he has terminal cancer. One day, he runs 
into his former student Jesse Pinkman while accompanying his brother -in-law 
Hank Schrader, a DEA agent, on a police raid.  
Walter decides to team up with Jesse to produce meth , a seemingly easy business 
that will bring in lots of money to support his family. They begin by cooking crystal 
meth in a motorhome in the middle of the Albuquerque desert.  
Eventually, Walter’s first experience as a drug dealer ends in murder, and he 
decides to step away from that world. However, his refusal to ask family and 
friends for financial help pushes him back into the business. This time, he adopts 
the alias ""Heisenberg"" and partners with Tuco, a dangerous distributor.  
Season 2: Walter White’s Double Life Exposed  
Tuco kidnaps Jesse and Walter and holds them in the house of his uncle Héctor 
Salamanca, a criminal now in a wheelchair. They manage to escape, and Tuco is 
shot and killed by Hank Schrader.  
Jesse relapses into drug use when he falls in love with Jane, a he roin addict. With 
his business at risk, Walter hires lawyer Saul Goodman.  
Meanwhile, a new client appears: Gus Fring, owner of a fast -food chain, who offers 
Walter a large sum for his meth production",Breaking Bad.pdf,1
d04ad72a-fe75-41ea-830f-3e1b657661f5,". With 
his business at risk, Walter hires lawyer Saul Goodman.  
Meanwhile, a new client appears: Gus Fring, owner of a fast -food chain, who offers 
Walter a large sum for his meth production. Walter’s involvement with Gus causes 
him to miss the b irth of his daughter.  
Walter finds out Jesse is using drugs again and takes part of his money. Later, he 
lets Jane die from an overdose while she’s unconscious next to Jesse.  
Eventually, Walter’s wife Skyler discovers his secret life. Meanwhile, Jane’s fat her, 
an air traffic controller, causes two planes to crash due to the trauma from her 
death.  
Season 3: Life -Threatening Danger  
Walter tries to save his marriage and quits the meth business, but Skyler asks for a ",Breaking Bad.pdf,1
b624dcdc-841d-469e-b37c-d2fe5949eddf,"divorce.  
Gus is determined to bring Walter back and offers him a deal: three months of 
work in a hidden lab with a new assistant, Gale, in exchange for a huge sum.  
Jesse starts cooking meth on his own, prompting Hank to track him, which 
jeopardizes Walter’ s operation. To avoid this, Walter brings Jesse into the lab.  
Tuco’s cousins seek revenge and shoot Hank, leaving him severely injured.  
Jesse soon gets into trouble and angers Gus. Walter asks Jesse to kill Gale in order 
to save their lives and gain levera ge over Gus.  
Season 4: The Business in Danger  
Jesse kills Gale. His friendship with Walter deteriorates. Hank investigates Gale’s 
murder and links it to Gus, suspecting him to be a major drug dealer.  
Later, Gus finds out Hank is Walter’s brother -in-law and decides to cut ties with 
Walter.  
Gus becomes a target for Walter and Jesse, who plot to kill him with the help of 
Héctor Salamanca. In the end, they succeed and destroy the lab.  
Season 5: The Fall of Heisenberg  
Walter and Jesse try to destroy evidence that could link them to Gus. This includes 
destroying a computer now in police hands.  
They partner with Mike, Gus’s former right -hand man, to continue the drug trade. 
This time, they use a fumigation company as cove r, cooking meth inside houses 
being fumigated.  
Later, Hank discovers Heisenberg’s true identity, and Jesse agrees to help capture 
him.  
Eventually, Hank is killed. Walter plans to retire, but first wants to secure his 
family’s financial future —despite thei r rejection of him.  
In the end, Walter White dies, and Jesse manages to escape.  
What does “Breaking Bad” mean?  
The choice of the title Breaking Bad  offers a clue to the show’s theme. The 
expression “breaking bad” is a colloquial idiom meaning to go down a wrong or 
criminal path",Breaking Bad.pdf,2
995540ad-0423-45fc-87b8-bf0f97e14369,"  
The choice of the title Breaking Bad  offers a clue to the show’s theme. The 
expression “breaking bad” is a colloquial idiom meaning to go down a wrong or 
criminal path.  
Just like in the series, everything is in constant transformation, full of twists and on 
a path of moral decay. But the tit le is just the surface of a much more complex 
story.  
So what makes this series one of the best in television history?  
 ",Breaking Bad.pdf,2
0e037077-d86b-4b2b-87ef-5c9009421014,"Game of Thrones (Juego de tronos) , also commonly known as  GoT, is an 
American dramatic and fantasy television series created by producers and writers 
David Benioff and D.B. Weiss. It is based on the novel saga  A Song of Ice and 
Fire  by author George R.R. Martin.  
The show premiered in 2011 and concluded in 2019, with a total of 8 seasons and 
73 episodes broadcast on HBO, the channel through which Game of Thrones can 
be watched.  
The show has become a reference series and a true phenomenon. Despite the 
passage of time, it continues to arouse the interest of many people around the 
world.  
From comparisons with the books, admiration or repulsion for some of its 
characters, the aspects and themes of the series, to its unexpected ending – any 
element can be a reason to love or hate this series. But what  is Game of Thrones 
about? Who are its characters? What are the Seven Kingdoms? What themes does 
it address?  
Let's explore the details of this highly successful show.  
Synopsis of Game of Thrones  
In a fantastical world within a medieval context, several noble families vie for 
power to dominate the fictional territory of Westeros and take control of the Seven 
Kingdoms from the Iron Throne, where the king wields power.  
While a civil war rages for control of the throne, the dead, lurking behind the Wall 
that divides Westeros from the northern lands, threaten to wage a war against the 
living.  
Meanwhile, Daenerys Targaryen, the daughter of the former king, returns to 
Westeros to reclaim her birthright and avenge the death of her ancestors in the 
previous civil war.  
Warning: Spoilers Ahead!  
Season Summaries  
Season 1  
The Seven Kingdoms are ruled by House Baratheon, with King Robert sitting on the 
Iron Throne.  
The Baratheon family visits the Starks in Winterfell, where Robert proposes to his 
friend Ned, the patriarch of the Stark family, that he become his Hand and advisor.  ",Game of Thrones.pdf,1
a7281899-984d-4949-b3ba-1018535c716f,"During the visit, Bran Stark, one of the younger Stark children, discovers Cersei and 
Jaime Lannister, siblings, engaged in incestuous relations. Jaime attempts to 
silence Bran by throwing him from a tower, resulting in paralysis.  
Ned accepts Robert's offer and becomes Hand of the King. He travels with his 
daughters, Sansa and Arya, to King's Landing. There, Ned betroths Sansa to Joffrey, 
King Robert's son.  
Meanwhile, Jon Snow, Ned's bastard son, enlists in the Night's Watch and journeys 
to the Wall.  
Viserys Targaryen, the son of the Mad King, offers his sister Daenerys to the leader 
of the Dothraki tribe in marriage, an act that ultimately costs him his life. Daenerys 
is widowed and loses her child, but in return, she becomes the Mother of Dragons, 
hatching three dragons.  
At the end of the season, King Robert dies, and the Lannisters frame Ned as a 
traitor. Joffrey ascends to the throne and orders Ned Stark's execution.  
Season 2  
Following Robert's death, his brothers, Renly and Stannis Baratheon, fight for the 
Iron Throne.  
Robb Stark declares war on the Lannister family and, with the support of his 
mother, proclaims himself ""King in the North."" He captures Jaime Lannister as an 
act of vengeance.  
In King's Landing, Joffrey tortures Sansa. Her younger sister, Arya, escapes the city 
with the help of Gendry, King Robert's bastard son. During her travels, Arya meets 
Jaqen H'ghar, who speaks of the Faceless Men.  
Daenerys travels with her advisors and dragons to the city of Qarth.  
In Winterfell, Theon Greyjoy betrays the Starks, ordering the deaths of Robb and 
Rickon, the younger Stark brothers, though he fails to kill them.  
The ""Battle of Blackwater"" ensues, where Stannis attacks King's Landing, but 
Tyrion successfully defends the city.  
Season 3  ",Game of Thrones.pdf,2
238b0291-c7ed-4c63-a3c5-2054dd244d0e," younger Stark brothers, though he fails to kill them.  
The ""Battle of Blackwater"" ensues, where Stannis attacks King's Landing, but 
Tyrion successfully defends the city.  
Season 3  
Joffrey forces Tyrion Lannister, his uncle, to marry Sansa Stark, while he becomes 
betrothed to Margaery Tyrell.  
Jon Snow ventures beyond the Wall, encountering the Wildlings and falling in love 
with Ygritte.  ",Game of Thrones.pdf,2
09e4002e-2dd0-4f0a-92f3-4e82431bcb74,"Daenerys travels to the city of Astapor, where she frees the enslaved people and 
creates an army of Unsullied, earning her the title ""Breaker of Chains.""  
Robb Stark, along with his mother and pregnant wife, are betrayed and murdered 
during the infamous ""Red Wedding.""  
Season 4  
Joffrey and Margaery's wedding takes place, but the young king is poisoned and 
dies. Cersei accuses her brother Tyrion of the murder and sentences him to a trial 
by combat.  
Sansa escapes King's Landing with the help of Littlefinger, who promises to take 
her to her family. Arya travels to the city of Braavos. Bran Stark journeys to the Wall 
with Hodor, eventually reaching the cave of the Three -Eyed Raven.  
The Wildlings attack the Night's Watch, and Ygritte, Jon Snow's lover, dies in battle.  
Tyrion escapes with the help of his brother Jaime, killing his father and his lover 
before fleeing.  
Season 5  
Tommen, Cersei's youngest son, becomes the new king, and Margaery Tyrell 
becomes his queen. Cersei is accused of incest and imprisoned by a religious 
group, who subject her to a humiliating punishment: a walk of atonement through 
the streets to the Red Kee p. 
Jaime travels to Dorne, where his daughter Myrcella is being held captive. Sansa is 
given to Ramsay Bolton, a sadistic young man who rapes her on her wedding night.  
Arya trains in Braavos to become a Faceless Man. Jon Snow forges an alliance with 
the Wildlings, but his Night's Watch brothers betray him and stab him to death.  
Season 6  
Melisandre resurrects Jon Snow. After escaping Ramsay, Sansa reunites with Jon. 
Jon's primary goal is to protect Westeros from the White Walkers.  
Arya avenges the deaths of her brother Robb and her mother by killing those 
responsible.  
Bran, as the Three -Eyed Raven, discovers a secret about Jon Snow's lineage: Jon is 
not Ned Stark's son",Game of Thrones.pdf,3
6c54523e-3379-4768-b1f7-118d07e9b5dc," avenges the deaths of her brother Robb and her mother by killing those 
responsible.  
Bran, as the Three -Eyed Raven, discovers a secret about Jon Snow's lineage: Jon is 
not Ned Stark's son, but the son of Lyanna Stark and Rhaegar Targaryen.  
The ""Battle of the Bastards"" takes place, where Ramsay is defeated and killed by 
his own dogs. Jon is proclaimed King in the North.  ",Game of Thrones.pdf,3
6bb217b3-61f7-43d6-8270-fc5d860c2a2b,"Cersei destroys the Sept of Baelor with wildfire, killing everyone inside, including 
Margaery Tyrell. Tommen, upon learning of Margaery's death, commits suicide by 
jumping from a window.  
Season 7  
Daenerys travels to Dragonstone, continuing her quest for the Iron Throne, a goal 
Cersei will not relinquish. However, the Lannisters are running out of allies.  
Melisandre visits Daenerys, urging her to ally with Jon Snow. Jon is concerned 
about the impending war between the living and the dead and seeks an alliance 
with Daenerys to fight the White Walkers. Daenerys agrees, with conditions, and 
they eventually bec ome romantically involved.  
Jon ventures beyond the Wall to capture a White Walker. He is rescued by 
Daenerys, but one of her dragons is transformed into a White Walker in the 
process.  
Arya returns to Winterfell, reuniting with Sansa and Bran. Together, they execute 
Littlefinger, who attempted to divide their family.  
Season 8  
Jon and Daenerys arrive at Winterfell with their armies. The White Walkers breach 
the Wall, and the Night King advances, decimating the population.  
Jon Snow learns of his true parentage: he is the son of Rhaegar Targaryen and 
Lyanna Stark. Daenerys discovers Jon's true identity, which jeopardizes her plans.  
The Battle of Winterfell against the Army of the Dead takes place. Daenerys and 
Jon attempt to defeat the Night King with their dragons. Arya, defending Bran from 
the Night King, manages to kill him with a Valyrian steel dagger, destroying the 
entire Army of the Dead.  
After the defeat of the Army of the Dead, Arya and Sansa learn the truth about Jon's 
lineage.  
Daenerys sets her sights on King's Landing to seize the Iron Throne. She demands 
Cersei's surrender.  
Jon increasingly attracts support for his claim to the Iron Throne, but he is unwilling 
to betray Daenerys.  
When Cersei refuses to surrender, Daenerys attacks",Game of Thrones.pdf,4
